player,team,salary
Cody Martin,PHO,8120000
Jock Landale,HOU,8000000
Trey Lyles,SAC,8000000
Jeff Green,HOU,8000000
Kevon Looney,GSW,8000000
Kelly Oubre Jr.,PHI,7983000
Jaden Ivey,DET,7977240
KJ Martin,UTA,7975000
Vasilije Micic,PHO,7723000
Simone Fontecchio,DET,7692308
Jonathan Kuminga,GSW,7636307
Anthony Black,ORL,7607760
Jae'Sean Tate,HOU,7565217
Gary Harris,ORL,7500000
Tidjane Salaun,CHO,7488720
Bennedict Mathurin,IND,7245720
Max Christie,DAL,7142857
Franz Wagner,ORL,7007092
Ayo Dosunmu,CHI,7000000
Bilal Coulibaly,WAS,6945240
Donovan Clingan,POR,6836400
Payton Pritchard,BOS,6696429
Kenrich Williams,OKC,6669000
Shaedon Sharpe,POR,6614160
Jevon Carter,CHI,6500000
Davion Mitchell,MIA,6451077
Saddiq Bey,WAS,6440678
Jarace Walker,IND,6362520
Rob Dillingham,MIN,6262920
Dean Wade,CLE,6166667
John Konchar,MEM,6165000
Ziaire Williams,BRK,6133005
Dyson Daniels,ATL,6059520
Precious Achiuwa,NYK,6000000
Malik Beasley,DET,6000000
Chris Duarte,CHI,5893768
Taylor Hendricks,UTA,5848680
Moses Moody,GSW,5803269
Zach Edey,MEM,5756880
Corey Kispert,WAS,5705887
Jeremy Sochan,SAS,5570040
Cason Wallace,OKC,5555880
Cody Williams,UTA,5469120
Alperen Sengun,HOU,5424654
Johnny Davis,MEM,5291160
Jett Howard,ORL,5278320
Davis Bertans,CHO,5250000
Haywood Highsmith,MIA,5200000
Matas Buzelis,CHI,5195520
Kris Dunn,LAC,5168000
Dario Saric,DEN,5168000
Trey Murphy III,NOP,5159854
Ousmane Dieng,OKC,5027040
Dereck Lively II,DAL,5014560
Nick Richards,PHO,5000000
Andre Drummond,PHI,5000000
Drew Eubanks,LAC,5000000
Nikola Topic,OKC,4935960
Tre Mann,CHO,4908373
Jalen Williams,OKC,4775760
Gradey Dick,TOR,4763760
Jalen McDaniels,SAS,4861772
Miles McBride,NYK,4710144
Devin Carter,SAC,4689000
