player,team,position,games,mpg,ppg,ast,reb,salary,salary_tier,per,ts_pct,ws,bpm,vorp
Dalen Terry,CHI,SG,73,987.0,326.0,97.0,124.0,3510480,Role Player,9.6,0.546,1.1,-3.8,-0.5
Ja'Kobe Walter,TOR,SG,52,1103.0,449.0,81.0,160.0,3465000,Role Player,10.8,0.523,1.2,-3.0,-0.3
Cam Whitmore,HOU,SF,51,827.0,477.0,49.0,151.0,3379080,Role Player,15.5,0.549,1.8,0.3,0.5
Jake LaRavia,2TM,PF,66,1349.0,458.0,158.0,259.0,3352680,Role Player,12.6,0.591,2.9,0.2,0.8
Cory Joseph,ORL,PG,50,612.0,177.0,72.0,74.0,3303771,Role Player,10.9,0.547,1.5,-0.8,0.2
Russell Westbrook,DEN,PG,75,2092.0,994.0,457.0,370.0,5631296,Role Player,14.3,0.532,1.9,-1.1,0.5
Yves Missi,NOP,C,73,1956.0,665.0,99.0,601.0,3193200,Role Player,15.4,0.572,3.6,-3.0,-0.5
Christian Braun,DEN,SG,79,2675.0,1218.0,205.0,410.0,3089640,Role Player,16.0,0.665,8.0,0.3,1.6
Johnny Juzang,UTA,SG,64,1270.0,571.0,68.0,184.0,3087519,Role Player,11.8,0.573,1.6,-2.3,-0.1
Kyle Filipowski,UTA,C,72,1522.0,690.0,140.0,440.0,3000000,Role Player,14.9,0.594,2.5,-1.0,0.4
Julian Champagnie,SAS,SF,82,1932.0,815.0,111.0,318.0,3000000,Role Player,12.2,0.577,2.5,-1.3,0.4
Paul Reed,DET,C,45,438.0,184.0,44.0,123.0,3913234,Role Player,18.6,0.573,1.6,2.9,0.5
Kevin Porter Jr.,2TM,SG,75,1482.0,771.0,256.0,278.0,3366937,Role Player,15.4,0.531,2.2,-0.6,0.5
Russell Westbrook,DEN,PG,75,2092.0,994.0,457.0,370.0,5631296,Role Player,14.3,0.532,1.9,-1.1,0.5
Kevin Porter Jr.,2TM,SG,75,1482.0,771.0,256.0,278.0,3366937,Role Player,15.4,0.531,2.2,-0.6,0.5
Ben Simmons,2TM,PG,51,1120.0,256.0,285.0,241.0,40011909,Supermax,12.4,0.539,1.8,-0.5,0.4
