player,team,position,games,mpg,ppg,ast,reb,salary,salary_tier,per,ts_pct,ws,bpm,vorp
Miles Bridges,CHO,PF,64,2029.0,1300.0,248.0,481.0,27173913,Star,17.7,0.541,3.2,1.8,2.0
Andrew Wiggins,2TM,SF,60,1842.0,1078.0,158.0,269.0,26276786,Star,16.4,0.566,4.0,0.9,1.4
Anfernee Simons,POR,SG,70,2292.0,1348.0,337.0,189.0,25892857,Star,14.9,0.557,4.2,-0.1,1.1
RJ Barrett,TOR,SF,58,1869.0,1223.0,314.0,366.0,25794643,Star,16.5,0.547,2.4,0.6,1.2
Tobias Harris,DET,PF,73,2305.0,1002.0,162.0,432.0,25365854,Star,13.9,0.571,5.2,0.1,1.2
Jaren Jackson Jr.,MEM,C,74,2207.0,1641.0,148.0,417.0,25257798,Star,19.6,0.591,6.4,2.3,2.4
Jonathan Isaac,ORL,PF,71,1090.0,380.0,40.0,314.0,25000000,Starter,16.6,0.512,3.4,0.7,0.7
Jalen Brunson,NYK,PG,65,2301.0,1690.0,475.0,187.0,24960001,Starter,21.6,0.605,8.3,3.3,3.1
Terry Rozier,MIA,PG,64,1658.0,679.0,167.0,238.0,24924126,Starter,10.5,0.497,1.0,-3.7,-0.7
Draymond Green,GSW,PF,68,1983.0,613.0,383.0,414.0,24107143,Starter,12.4,0.534,3.7,0.5,1.3
DeMar DeRozan,SAC,SF,77,2768.0,1710.0,342.0,298.0,23400000,Starter,17.7,0.569,7.1,-0.1,1.3
Mikal Bridges,NYK,SF,82,3036.0,1444.0,306.0,259.0,23300000,Starter,14.0,0.585,5.7,-0.5,1.2
Jaden McDaniels,MIN,PF,82,2614.0,1000.0,163.0,470.0,23017242,Starter,13.3,0.562,6.3,0.0,1.4
Brook Lopez,MIL,C,80,2546.0,1041.0,143.0,401.0,23000000,Starter,14.8,0.624,6.6,0.8,1.8
Aaron Gordon,DEN,PF,51,1447.0,748.0,164.0,247.0,22841455,Starter,17.0,0.65,4.3,1.2,1.2
Kentavious Caldwell-Pope,ORL,SG,77,2279.0,673.0,136.0,169.0,22757000,Starter,9.9,0.574,4.6,-1.4,0.3
Cameron Johnson,BRK,PF,57,1800.0,1070.0,194.0,247.0,22500000,Starter,18.2,0.632,5.1,3.1,2.3
Clint Capela,ATL,C,55,1176.0,488.0,62.0,469.0,22265280,Starter,17.7,0.564,3.2,-1.0,0.3
Dillon Brooks,HOU,SF,75,2388.0,1053.0,128.0,275.0,22255493,Starter,11.0,0.555,5.1,-1.4,0.4
De'Andre Hunter,2TM,SF,64,1740.0,1088.0,92.0,258.0,21696429,Starter,15.9,0.623,4.4,0.4,1.0
Derrick White,BOS,SG,76,2574.0,1248.0,361.0,341.0,20071429,Starter,16.6,0.606,8.5,3.5,3.6
Jarrett Allen,CLE,C,82,2296.0,1103.0,158.0,798.0,20000000,Starter,22.1,0.724,11.6,4.2,3.6
